ONET Title	R	I	A	S	E	C
Radio Mechanics	7.0	5.33	1.67	1.0	1.67	4.33
Telecommunications Equipment Installers and Repairers, Except Line Installers	7.0	5.0	1.33	2.0	2.33	4.67
Avionics Technicians	7.0	4.33	1.33	1.0	2.33	4.33
Electric Motor, Power Tool, and Related Repairers	7.0	2.33	1.0	1.0	1.33	3.33
Electrical and Electronics Installers and Repairers, Transportation Equipment	7.0	3.0	1.0	1.0	2.0	4.0
Electrical and Electronics Repairers, Commercial and Industrial Equipment	7.0	5.33	2.33	1.0	2.67	4.67
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	6.67	3.0	1.33	1.0	2.0	3.67
Electronic Equipment Installers and Repairers, Motor Vehicles	7.0	5.0	2.0	1.0	2.0	4.33
Electronic Home Entertainment Equipment Installers and Repairers	6.33	3.0	1.33	2.0	3.0	4.33
Security and Fire Alarm Systems Installers	6.67	2.67	1.0	1.0	2.0	3.67
Aircraft Mechanics and Service Technicians	7.0	3.67	1.33	1.0	2.0	4.67
Automotive Body and Related Repairers	7.0	1.67	1.67	1.0	2.33	2.33
Automotive Glass Installers and Repairers	7.0	1.0	1.0	1.67	3.0	3.33
Automotive Master Mechanics	7.0	3.67	1.0	1.33	3.0	3.0
Automotive Specialty Technicians	7.0	3.33	1.0	1.0	2.0	3.0
Bus and Truck Mechanics and Diesel Engine Specialists	7.0	2.33	1.0	1.0	1.67	3.33
Farm Equipment Mechanics and Service Technicians	7.0	4.0	1.33	1.33	2.0	5.0
Mobile Heavy Equipment Mechanics, Except Engines	7.0	2.67	1.0	1.0	1.67	3.0
Rail Car Repairers	7.0	2.67	1.0	1.0	1.33	2.67
Motorboat Mechanics and Service Technicians	7.0	3.0	1.0	1.0	1.67	3.67
Motorcycle Mechanics	7.0	2.33	1.33	1.0	2.0	2.67
Outdoor Power Equipment and Other Small Engine Mechanics	7.0	2.0	1.0	1.67	3.0	3.33
Bicycle Repairers	7.0	3.67	2.0	1.0	2.67	4.33
Recreational Vehicle Service Technicians	7.0	4.67	1.33	1.33	2.33	4.0
Tire Repairers and Changers	7.0	3.0	1.0	2.0	2.0	4.0
Mechanical Door Repairers	7.0	2.33	1.0	1.0	2.33	2.67
Control and Valve Installers and Repairers, Except Mechanical Door	7.0	4.0	1.0	1.0	2.0	4.67
Heating and Air Conditioning Mechanics and Installers	7.0	4.67	2.0	1.33	3.0	4.67
Refrigeration Mechanics and Installers	7.0	1.67	1.0	1.0	3.0	3.0
Home Appliance Repairers	7.0	4.33	1.0	1.67	2.67	5.0
Industrial Machinery Mechanics	7.0	4.67	1.33	1.33	1.33	4.33
Maintenance Workers, Machinery	7.0	3.67	1.33	1.33	2.0	5.0
Millwrights	7.0	3.0	1.67	1.0	1.33	3.0
Refractory Materials Repairers, Except Brickmasons	7.0	3.33	1.0	1.0	1.67	3.67
Electrical Power-Line Installers and Repairers	7.0	4.33	2.33	1.0	1.67	4.0
Telecommunications Line Installers and Repairers	6.67	2.0	1.0	1.0	3.0	2.67
Camera and Photographic Equipment Repairers	7.0	4.67	2.0	1.0	1.67	4.67
Medical Equipment Repairers	7.0	5.0	1.67	1.33	1.67	4.67
Musical Instrument Repairers and Tuners	7.0	4.0	4.67	1.33	1.67	4.0
Watch Repairers	7.0	4.0	1.33	1.0	1.67	4.67
Maintenance and Repair Workers, General	7.0	3.67	1.33	1.0	2.33	4.33
Wind Turbine Service Technicians	6.67	2.33	1.0	1.33	2.33	4.0
Coin, Vending, and Amusement Machine Servicers and Repairers	7.0	3.33	1.0	1.0	3.0	5.0
Commercial Divers	7.0	2.33	1.33	1.0	2.33	2.33
Fabric Menders, Except Garment	7.0	1.0	1.67	1.0	1.33	2.0
Locksmiths and Safe Repairers	7.0	1.67	1.0	1.67	2.33	3.67
Manufactured Building and Mobile Home Installers	7.0	1.67	1.33	2.33	2.67	3.33
Riggers	7.0	3.67	1.33	1.0	2.33	5.0
Signal and Track Switch Repairers	7.0	2.0	1.0	1.0	1.67	3.33
Helpers--Installation, Maintenance, and Repair Workers	7.0	4.67	1.0	1.33	1.67	5.33
Geothermal Technicians	6.67	2.33	1.0	1.33	2.33	4.0
First-Line Supervisors of Production and Operating Workers	5.67	2.67	1.0	2.33	7.0	5.0
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	7.0	1.67	1.0	1.0	2.0	2.67
Coil Winders, Tapers, and Finishers	7.0	3.33	1.33	1.0	1.67	4.67
Electrical and Electronic Equipment Assemblers	7.0	1.67	1.0	1.0	2.0	3.0
Electromechanical Equipment Assemblers	7.0	4.33	1.33	1.0	1.67	4.67
Engine and Other Machine Assemblers	7.0	2.0	1.0	1.0	1.33	3.0
Structural Metal Fabricators and Fitters	7.0	3.0	2.67	1.0	1.67	5.0
Fiberglass Laminators and Fabricators	7.0	3.67	2.0	1.0	1.33	5.33
Team Assemblers	7.0	2.0	1.0	1.67	4.67	5.0
Timing Device Assemblers and Adjusters	7.0	1.67	1.33	1.0	1.33	2.67
Bakers	6.67	1.33	2.33	1.0	3.0	4.0
Butchers and Meat Cutters	6.67	1.67	1.33	1.33	4.0	4.67
Meat, Poultry, and Fish Cutters and Trimmers	7.0	1.33	1.0	1.0	1.33	2.0
Slaughterers and Meat Packers	7.0	2.0	1.67	1.0	2.67	5.0
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	7.0	1.67	1.0	1.0	2.0	3.0
Food Batchmakers	7.0	3.33	1.67	1.0	3.0	6.0
Food Cooking Machine Operators and Tenders	7.0	3.33	1.0	1.33	2.67	5.33
Computer-Controlled Machine Tool Operators, Metal and Plastic	7.0	1.67	1.0	1.0	1.67	2.67
Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic	5.67	6.0	2.0	1.33	1.67	6.0
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	1.33	1.0	1.0	1.67	2.67
Forging Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	3.33	1.0	1.0	2.0	4.33
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	6.67	2.0	1.0	1.0	3.0	4.0
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	3.33	1.0	1.0	2.33	5.33
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	4.67	1.67	1.0	2.0	5.0
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	1.67	1.0	1.0	1.67	2.33
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	4.67	2.0	1.0	1.33	4.33
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	1.67	1.0	1.0	1.67	3.33
Machinists	7.0	4.67	2.0	1.0	1.33	5.33
Metal-Refining Furnace Operators and Tenders	7.0	5.67	1.67	1.0	1.67	5.0
Pourers and Casters, Metal	7.0	2.0	1.0	1.0	1.67	3.0
Model Makers, Metal and Plastic	6.67	3.33	1.67	1.0	2.0	3.33
Patternmakers, Metal and Plastic	7.0	4.33	4.0	1.0	1.33	4.33
Foundry Mold and Coremakers	7.0	3.33	2.33	1.0	2.0	4.0
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	3.67	1.67	1.0	1.33	5.0
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	2.0	1.0	1.33	1.67	2.33
Tool and Die Makers	6.67	5.0	3.33	1.0	1.33	4.33
Welders, Cutters, and Welder Fitters	7.0	2.33	1.0	1.0	1.67	3.33
Solderers and Brazers	7.0	1.67	1.0	1.0	1.33	2.0
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	7.0	3.33	1.33	1.0	3.33	4.67
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	7.0	2.33	1.33	1.0	2.0	3.33
Layout Workers, Metal and Plastic	6.33	3.67	2.0	1.0	1.67	3.67
Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	2.33	1.0	1.0	1.33	3.33
Tool Grinders, Filers, and Sharpeners	7.0	2.0	1.33	1.0	2.0	3.0
Prepress Technicians and Workers	6.33	1.0	1.67	1.0	2.0	5.67
Printing Press Operators	6.33	1.67	1.67	1.33	2.0	5.0
Print Binding and Finishing Workers	6.0	1.67	3.0	1.33	2.33	4.67
Laundry and Dry-Cleaning Workers	6.33	1.33	1.0	1.33	2.33	3.33
Pressers, Textile, Garment, and Related Materials	7.0	2.67	2.33	1.33	2.0	5.33
Sewing Machine Operators	6.67	1.33	1.67	1.0	1.67	4.0
Shoe and Leather Workers and Repairers	7.0	1.67	4.0	1.67	1.67	4.67
Shoe Machine Operators and Tenders	7.0	1.33	1.0	1.0	1.67	2.67
Sewers, Hand	6.0	1.67	5.0	1.33	1.67	4.67
Tailors, Dressmakers, and Custom Sewers	6.67	1.0	4.0	2.0	3.67	2.33
Textile Bleaching and Dyeing Machine Operators and Tenders	6.67	1.67	1.0	1.0	1.67	2.33
Textile Cutting Machine Setters, Operators, and Tenders	7.0	1.33	1.0	1.0	1.33	2.67
Textile Knitting and Weaving Machine Setters, Operators, and Tenders	7.0	1.33	2.33	1.33	2.67	5.0
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	6.67	1.67	1.0	1.0	2.0	3.33
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	7.0	2.33	1.0	1.0	2.0	2.67
Fabric and Apparel Patternmakers	5.67	1.33	4.67	1.0	2.0	3.67
Upholsterers	6.67	1.0	1.67	1.0	2.33	2.0
Cabinetmakers and Bench Carpenters	7.0	1.0	2.0	1.0	2.0	2.67
Furniture Finishers	7.0	1.0	2.67	1.0	1.67	2.0
Model Makers, Wood	7.0	3.33	4.67	1.0	1.0	4.33
Patternmakers, Wood	7.0	4.33	4.0	1.0	1.33	4.0
Sawing Machine Setters, Operators, and Tenders, Wood	7.0	3.33	1.67	1.0	1.0	5.0
Woodworking Machine Setters, Operators, and Tenders, Except Sawing	7.0	3.67	1.67	1.0	1.33	4.67
Nuclear Power Reactor Operators	6.67	1.67	1.0	1.0	3.0	4.0
Power Distributors and Dispatchers	6.67	5.0	1.33	1.33	4.0	4.33
Power Plant Operators	6.33	2.0	1.0	1.0	2.33	4.33
Stationary Engineers and Boiler Operators	7.0	4.67	1.0	1.33	2.33	4.33
Water and Wastewater Treatment Plant and System Operators	6.33	2.33	1.33	1.0	2.0	3.67
Chemical Plant and System Operators	7.0	2.33	1.0	1.33	2.0	3.67
Gas Plant Operators	6.33	3.33	1.0	1.0	2.67	6.33
Petroleum Pump System Operators, Refinery Operators, and Gaugers	7.0	1.67	1.0	1.33	2.33	4.33
Biofuels Processing Technicians	6.0	3.0	1.0	1.33	2.0	4.0
Methane/Landfill Gas Generation System Technicians	6.0	3.33	1.0	1.33	2.0	4.0
Biomass Plant Technicians	6.0	3.0	1.0	1.33	2.0	4.0
Hydroelectric Plant Technicians	6.0	3.0	1.0	1.33	1.67	3.67
Chemical Equipment Operators and Tenders	7.0	2.0	1.33	1.0	2.0	3.33
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	7.0	4.33	1.33	1.33	2.33	5.0
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	7.0	3.67	1.33	1.0	2.0	5.0
Grinding and Polishing Workers, Hand	7.0	3.33	2.67	1.0	1.67	4.33
Mixing and Blending Machine Setters, Operators, and Tenders	7.0	3.67	1.0	1.0	1.33	4.67
Cutters and Trimmers, Hand	7.0	2.33	1.67	1.0	2.0	5.33
Cutting and Slicing Machine Setters, Operators, and Tenders	7.0	1.33	1.0	1.0	2.0	3.0
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	7.0	3.67	1.33	1.0	1.67	5.33
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	7.0	2.67	1.0	1.0	2.0	4.0
Inspectors, Testers, Sorters, Samplers, and Weighers	6.33	3.67	1.0	1.67	2.67	6.67
Jewelers	6.67	2.67	6.33	1.0	3.67	2.67
Gem and Diamond Workers	6.67	3.33	2.0	1.0	2.33	3.0
Precious Metal Workers	7.0	1.67	3.0	1.0	1.33	2.33
Dental Laboratory Technicians	6.33	5.0	2.0	2.67	1.67	4.33
Medical Appliance Technicians	7.0	4.67	2.33	4.33	1.67	3.0
Ophthalmic Laboratory Technicians	7.0	2.33	1.0	1.0	2.0	3.67
Packaging and Filling Machine Operators and Tenders	7.0	3.0	1.67	1.0	1.67	5.33
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	7.0	3.67	2.0	1.0	1.67	4.67
Painters, Transportation Equipment	7.0	3.33	3.33	1.0	1.33	4.33
Painting, Coating, and Decorating Workers	7.0	1.33	2.67	1.33	1.67	2.67
Semiconductor Processors	7.0	4.33	1.33	1.0	2.33	5.0
Photographic Process Workers and Processing Machine Operators	4.33	2.0	2.67	2.0	2.0	6.33
Adhesive Bonding Machine Operators and Tenders	6.67	1.33	1.0	1.0	2.0	3.67
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	7.0	1.33	1.0	1.0	1.33	2.67
Cooling and Freezing Equipment Operators and Tenders	7.0	4.0	1.0	1.0	1.67	5.0
Etchers and Engravers	7.0	1.0	2.67	1.67	2.33	3.33
Stone Cutters and Carvers, Manufacturing	7.0	1.67	6.0	1.0	1.67	2.67
Glass Blowers, Molders, Benders, and Finishers	6.67	3.0	4.33	1.0	2.0	5.0
Potters, Manufacturing	6.67	1.33	4.0	1.0	1.33	1.67
Molding and Casting Workers	7.0	1.0	1.0	1.0	1.0	2.33
Paper Goods Machine Setters, Operators, and Tenders	6.67	3.0	1.0	1.0	2.33	4.67
Tire Builders	7.0	3.0	1.33	1.0	1.67	4.33
Helpers--Production Workers	7.0	3.0	1.33	1.33	1.33	5.0
Recycling and Reclamation Workers	6.67	1.33	1.33	1.33	1.67	6.67
Aircraft Cargo Handling Supervisors	5.67	2.67	1.33	2.0	7.0	3.67
First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand	4.67	1.33	1.0	2.33	7.0	4.33
Recycling Coordinators	2.67	1.67	1.0	2.0	5.67	4.0
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators	4.67	1.67	1.0	2.0	7.0	5.67
Airline Pilots, Copilots, and Flight Engineers	7.0	4.33	1.33	1.67	3.0	5.33
Commercial Pilots	6.67	4.33	1.0	2.33	4.33	3.67
Air Traffic Controllers	3.67	2.33	1.0	2.33	6.33	6.0
Airfield Operations Specialists	3.67	3.67	1.0	2.33	5.0	5.0
Flight Attendants	3.33	1.33	2.33	5.33	6.0	4.67
Ambulance Drivers and Attendants, Except Emergency Medical Technicians	7.0	1.67	1.33	5.67	3.33	3.0
Bus Drivers, Transit and Intercity	7.0	1.0	1.0	3.67	3.0	2.33
Bus Drivers, School or Special Client	7.0	1.67	1.0	3.33	3.33	5.0
Driver/Sales Workers	6.0	1.0	1.33	2.33	5.67	3.33
Heavy and Tractor-Trailer Truck Drivers	7.0	3.0	1.0	1.0	2.0	4.67
Light Truck or Delivery Services Drivers	7.0	2.67	1.0	1.0	3.0	5.33
Taxi Drivers and Chauffeurs	5.67	1.33	1.0	3.0	5.0	2.67
Locomotive Engineers	7.0	2.33	1.33	1.67	2.33	4.67
Locomotive Firers	6.67	3.0	1.0	1.33	2.33	5.33
Rail Yard Engineers, Dinkey Operators, and Hostlers	7.0	3.67	1.0	1.67	3.33	4.33
Railroad Brake, Signal, and Switch Operators	7.0	1.33	1.0	1.33	2.33	3.33
Railroad Conductors and Yardmasters	5.67	2.33	1.0	1.33	6.33	5.0
Subway and Streetcar Operators	7.0	2.67	1.0	2.67	3.0	5.33
Sailors and Marine Oilers	7.0	3.0	1.0	1.0	3.33	5.0
Ship and Boat Captains	6.0	2.33	1.0	2.33	6.67	3.67
Mates- Ship, Boat, and Barge	6.0	3.0	1.0	2.0	6.67	5.33
Pilots, Ship	7.0	4.33	1.0	2.0	4.33	4.33
Motorboat Operators	7.0	3.0	1.0	1.67	4.67	4.67
Ship Engineers	7.0	3.0	1.0	2.0	5.0	5.33
Bridge and Lock Tenders	6.67	1.67	1.0	1.33	3.67	4.33
Parking Lot Attendants	6.67	1.0	1.0	2.67	3.33	5.67
Automotive and Watercraft Service Attendants	7.0	2.33	1.0	3.33	2.33	4.67
Traffic Technicians	6.33	4.67	1.33	2.33	3.67	3.0
Aviation Inspectors	6.67	5.33	1.0	1.33	2.67	5.67
Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation	6.67	4.0	1.33	1.33	2.0	5.67
Freight and Cargo Inspectors	6.67	2.67	1.0	1.33	3.67	6.33
Transportation Attendants, Except Flight Attendants	4.67	1.0	1.33	4.67	4.67	4.33
Conveyor Operators and Tenders	6.67	1.0	1.0	1.0	2.33	2.67
Crane and Tower Operators	7.0	3.33	1.0	1.0	1.67	4.33
Dredge Operators	7.0	1.33	1.0	1.0	1.67	2.0
Excavating and Loading Machine and Dragline Operators	7.0	1.67	1.0	1.0	2.0	1.67
Loading Machine Operators, Underground Mining	7.0	3.0	1.0	1.0	1.67	4.0
Hoist and Winch Operators	7.0	1.33	1.0	1.0	2.67	2.67
Industrial Truck and Tractor Operators	7.0	3.0	1.0	1.0	1.67	4.67
Cleaners of Vehicles and Equipment	6.67	1.33	1.0	1.33	2.0	3.33
Laborers and Freight, Stock, and Material Movers, Hand	7.0	1.0	1.0	1.0	1.67	2.33
Machine Feeders and Offbearers	7.0	1.0	1.0	1.0	1.33	2.67
Packers and Packagers, Hand	6.67	1.0	1.0	1.0	2.0	2.67
Gas Compressor and Gas Pumping Station Operators	7.0	1.33	1.0	1.0	2.0	3.0
Pump Operators, Except Wellhead Pumpers	7.0	4.0	1.0	1.33	2.0	4.67
Wellhead Pumpers	7.0	3.67	1.0	1.0	1.33	5.0
Refuse and Recyclable Material Collectors	7.0	1.33	1.0	1.0	2.33	3.67
Mine Shuttle Car Operators	7.0	1.33	1.0	1.0	1.67	2.33
Tank Car, Truck, and Ship Loaders	7.0	3.0	1.0	1.33	2.0	5.0
